player,nationality,position,age,value,games,minutes,goals,assists,xg,xa,npxg,shots_total,passes,tackles,pressures
Riccardo Saponara,it ITA,"MF,FW",27,2000000,4,168,0,0,0.3,0.1,0.3,5,84,4,30
Ismail Jakobs,de GER,"FW,DF",19,2000000,20,1672,2,2,2.4,1.1,2.4,18,589,53,405
Trent Alexander-Arnold,eng ENG,DF,20,99000000,38,3175,4,13,2.8,9.9,2.8,44,3147,58,409
Timothy Chandler,us USA,"DF,MF",29,2000000,22,1220,5,1,1.8,1.0,1.8,19,462,20,195
Pavel KadeĹ™Ăˇbek,cz CZE,"DF,MF",27,10000000,30,2474,2,7,2.1,3.5,2.1,26,1365,31,284
Isaac Lihadji,fr FRA,"DF,MF",17,3000000,2,25,0,0,0.0,0.0,0.0,0,16,0,9
Lucas TorrĂł,es ESP,"MF,FW",25,2000000,7,331,0,0,0.2,0.0,0.2,7,174,12,73
Karim Bellarabi,de GER,"FW,DF",29,12000000,26,1424,4,6,5.9,4.2,5.9,55,707,19,297
JoĂŁo Victor Santos SĂˇ,br BRA,"MF,FW",25,3500000,32,1629,2,2,3.5,1.9,3.5,29,442,38,401
Petar Skuletic,rs SRB,FW,29,500,5,106,0,0,1.0,0.1,0.2,4,26,3,20
Espeto,br BRA,"DF,MF",22,3000000,32,2110,1,2,2.3,1.3,2.3,53,870,67,562
Mathieu Bodmer,fr FRA,MF,36,25000,9,88,1,0,0.3,0.3,0.3,4,93,0,14
Mason Holgate,eng ENG,DF,22,13000000,27,2054,0,3,2.2,0.5,2.2,12,991,50,242
Anthony Limbombe,be BEL,"FW,MF",25,4000000,4,151,1,0,0.3,0.1,0.3,2,53,2,18
Michael McGovern,nir NIR,GK,35,30000,2,159,0,0,0.0,0.0,0.0,0,51,0,0
Harvey Barnes,eng ENG,"MF,FW",21,17000000,36,2083,6,8,8.7,3.5,8.7,61,729,22,328
Kwon Chang-hoon,kr KOR,"MF,FW",25,2800000,23,676,2,0,1.9,1.1,1.9,15,275,9,142
Andre-Frank Zambo Anguissa,cm CMR,MF,23,20000000,36,2583,2,0,2.4,0.8,2.4,29,1498,79,592
Iago HerrerĂ­n,es ESP,GK,31,2000000,5,425,0,0,0.0,0.0,0.0,0,169,0,2
Nico Schlotterbeck,de GER,DF,19,4000000,13,373,0,0,0.1,0.3,0.1,3,194,8,37
TomĂˇĹˇ SouÄŤek,cz CZE,MF,24,20000000,13,1040,3,0,2.2,0.5,2.2,19,392,35,240
Marko GrujiÄ‡,rs SRB,MF,23,14500000,29,2415,4,1,4.4,0.6,4.4,35,1096,67,572
Thiago Maia,br BRA,MF,22,3000000,3,48,0,0,0.0,0.1,0.0,0,39,4,13
Lukas KlĂĽnter,de GER,DF,23,4000000,23,1878,0,2,0.1,1.8,0.1,2,825,48,282
Sandro Tonali,it ITA,MF,19,31000000,35,3014,1,7,0.9,5.4,0.9,27,1582,52,558
IsmaĂ«l Bennacer,dz ALG,MF,21,17000000,31,2485,1,0,0.9,1.4,0.9,15,1808,91,587
Cristiano Piccini,it ITA,DF,26,6000000,2,75,0,0,0.1,0.0,0.1,1,51,4,16
RubĂ©n GarcĂ­a,es ESP,"MF,FW",26,20000,30,2188,8,2,6.5,3.9,5.7,52,1022,51,408
Bruno Soriano,es ESP,MF,35,47500,7,263,0,0,0.1,0.0,0.1,1,267,5,40
FabiĂˇn Balbuena,py PAR,DF,27,9000000,17,1177,1,0,1.7,0.0,1.7,10,487,18,116
Curtis Jones,eng ENG,MF,18,1000000,6,126,1,0,0.9,0.0,0.9,6,128,3,27
RĂşben Vinagre,pt POR,DF,20,9000000,16,652,0,0,0.3,0.5,0.3,5,344,25,117
Jon Pacheco,es ESP,DF,18,20000,1,77,0,0,0.0,0.0,0.0,0,36,1,9
Theodor Gebre Selassie,cz CZE,DF,32,1000000,28,2427,2,2,1.4,1.5,1.4,11,1337,44,340
David GarcĂ­a,es ESP,DF,25,2000000,32,2793,0,0,1.2,0.3,1.2,19,1160,39,263
Mathias Pereira Lage,pt POR,MF,22,2000000,25,1542,1,3,1.8,2.3,1.8,36,542,40,526
Sebastiano Esposito,it ITA,FW,17,9000000,7,199,1,0,1.7,0.1,1.0,10,62,3,78
Scott McTominay,sco SCO,MF,22,22000000,27,1772,4,1,1.5,0.7,1.5,30,995,50,262
Exequiel Palacios,ar ARG,MF,20,22000000,3,177,0,0,0.2,0.2,0.2,5,151,8,40
Jean-KĂ©vin Augustin,fr FRA,FW,22,9000000,10,266,0,0,0.5,0.0,0.5,7,40,2,39
Claudio Bravo,cl CHI,GK,36,1000000,4,347,0,0,0.0,0.0,0.0,0,132,0,0
Elvis RexhbeĂ§aj,de GER,MF,21,4000000,13,623,0,3,1.0,1.3,1.0,13,233,11,142
Phil Bardsley,sco SCO,DF,34,80000,21,1890,0,1,0.2,0.7,0.2,12,897,55,234
Serge Aurier,ci CIV,DF,26,16000000,33,2700,1,5,0.6,2.8,0.6,13,1654,98,521
Alex Ferrari,it ITA,DF,25,2000000,12,1005,0,0,0.3,0.0,0.3,4,425,17,133
Roberto Inglese,it ITA,FW,27,12000000,17,766,4,0,4.3,0.3,3.6,23,153,10,159
Yerry Mina,co COL,DF,24,20000000,29,2284,2,1,2.5,0.2,2.5,30,1251,43,229
Cengiz Ăśnder,tr TUR,FW,22,24000000,18,873,3,0,1.9,2.6,1.9,26,342,12,126
